age,pH,CO2
1990,8.098554095,793000
1990.33,8.108546275,799487.1795
1990.83,8.098656146,805974.359
1991.25,8.105881738,812461.5385
1991.42,8.092542776,818948.7179
1991.58,8.108945162,825435.8974
1991.67,8.109811826,831923.0769
1991.92,8.109990081,838474.359
1992,8.100887864,845256.4103
1992.17,8.092827188,852038.4615
1992.33,8.098129529,858820.5128
1992.42,8.102728367,865358.9744
1992.58,8.108805635,871846.1538
1992.83,8.095748277,878333.3333
1993,8.109760206,884820.5128
1993.17,8.108066264,891307.6923
1993.33,8.1065635,897794.8718
1993.83,8.095283086,904307.6923
1994.17,8.100837656,911384.6154
1994.5,8.092068719,918461.5385
1995,8.089398498,925538.4615
1995.25,8.099994898,932615.3846
1995.58,8.105121654,939692.3077
1995.83,8.090093225,946769.2308
1996,8.097984792,953769.2308
1996.17,8.093807836,960551.2821
1996.33,8.089965634,967333.3333
1996.67,8.096229004,974115.3846
1997,8.098749433,981153.8462
1997.33,8.089429899,988230.7692
1997.58,8.088081812,995307.6923
1997.83,8.101126118,1001961.538
1998,8.089010391,1008153.846
1998.25,8.090791179,1014346.154
1998.42,8.090256763,1020769.231
1998.5,8.089750959,1029615.385
1998.67,8.096015113,1038461.538
1998.83,8.08271501,1047307.692
1999,8.088655371,1054102.564
1999.33,8.083718281,1060000
1999.58,8.086127757,1065897.436
1999.92,8.081486231,1072692.308
2000.58,8.090816943,1081538.462
2000.83,8.083587797,1090384.615
2001,8.080140782,1099230.769
2001.33,8.091471282,1108076.923
2001.83,8.089187545,1116923.077
2002.33,8.076346074,1125769.231
2002.5,8.080222414,1134615.385
2002.83,8.078420768,1143461.538
2003,8.07443194,1152307.692
2003.33,8.070489172,1160769.231
2003.67,8.085769739,1166666.667
2004,8.086466454,1172564.103
2004.33,8.074056281,1178461.538
2004.67,8.08252218,1188717.949
2005.25,8.071980246,1200512.821
2005.5,8.067589883,1212307.692
2005.58,8.069176083,1223076.923
2005.92,8.065066408,1231923.077
2006.33,8.079554127,1240769.231
2006.83,8.072055465,1249615.385
2007.08,8.077880154,1258461.538
2007.5,8.070591035,1267307.692
2007.92,8.075285297,1276153.846
2008.25,8.074466568,1285000
2008.75,8.061058856,1293846.154
2009.08,8.068754528,1302692.308
2009.25,8.068453916,1311538.462
2009.75,8.059804701,1320384.615
2010.25,8.056080295,1329230.769
2010.67,8.072858806,1338076.923
2011.25,8.061113966,1349230.769
2011.58,8.06780889,1361025.641
2012.33,8.071216314,1372820.513
2012.42,8.058516511,1383461.538
2012.83,8.052881521,1392307.692
2013,8.059355885,1401153.846
2013.42,8.051387431,1410000
